addr,약국,병원
경기도 부천시 범박동,4개,13개
경기도 부천시 삼정동,7개,14개
경기도 부천시 상동,45개,172개
경기도 부천시 소사동,8개,4개
경기도 부천시 소사본동,30개,49개
경기도 부천시 송내동,15개,39개
경기도 부천시 심곡동,25개,59개
경기도 부천시 심곡본동,26개,68개
경기도 부천시 약대동,3개,5개
경기도 부천시 여월동,5개,5개
경기도 부천시 역곡동,15개,50개
경기도 부천시 오정동,9개,19개
경기도 부천시 옥길동,8개,24개
경기도 부천시 원미동,18개,44개
경기도 부천시 원종동,32개,78개
경기도 부천시 작동,2개,5개
경기도 부천시 중동,66개,256개
경기도 부천시 춘의동,4개,6개
경기도 성남시 분당구 구미동,28개,91개
경기도 성남시 분당구 금곡동,22개,92개
경기도 성남시 분당구 백현동,7개,25개
경기도 성남시 분당구 분당동,3개,5개
경기도 성남시 분당구 삼평동,19개,83개
경기도 성남시 분당구 서현동,49개,186개
경기도 성남시 분당구 수내동,26개,100개
경기도 성남시 분당구 야탑동,44개,126개
경기도 성남시 분당구 운중동,7개,25개
경기도 성남시 분당구 이매동,10개,34개
경기도 성남시 분당구 정자동,33개,144개
경기도 성남시 분당구 판교동,7개,19개
경기도 성남시 수정구 고등동,2개,4개
경기도 성남시 수정구 단대동,6개,16개
경기도 성남시 수정구 복정동,2개,6개
경기도 성남시 수정구 산성동,5개,7개
경기도 성남시 수정구 수진동,18개,53개
경기도 성남시 수정구 시흥동,1개,2개
경기도 성남시 수정구 신흥동,33개,117개
경기도 성남시 수정구 양지동,2개,12개
경기도 성남시 수정구 창곡동,20개,105개
경기도 성남시 수정구 태평동,44개,87개
경기도 성남시 중원구 금광동,22개,56개
경기도 성남시 중원구 도촌동,3개,10개
경기도 성남시 중원구 상대원동,23개,67개
경기도 성남시 중원구 성남동,17개,89개
경기도 성남시 중원구 여수동,3개,12개
경기도 성남시 중원구 은행동,17개,40개
경기도 성남시 중원구 중앙동,12개,35개
경기도 성남시 중원구 하대원동,5개,10개
경기도 수원시 권선구 고색동,8개,12개
경기도 수원시 권선구 곡반정동,2개,8개
경기도 수원시 권선구 구운동,8개,10개
경기도 수원시 권선구 권선동,33개,112개
경기도 수원시 권선구 금곡동,20개,64개
경기도 수원시 권선구 당수동,2개,5개
경기도 수원시 권선구 서둔동,7개,10개
경기도 수원시 권선구 세류동,26개,50개
경기도 수원시 권선구 오목천동,7개,16개
경기도 수원시 권선구 입북동,1개,1개
경기도 수원시 권선구 탑동,9개,30개
경기도 수원시 권선구 호매실동,10개,24개
경기도 수원시 영통구 망포동,19개,64개
경기도 수원시 영통구 매탄동,36개,109개
경기도 수원시 영통구 신동,3개,4개
경기도 수원시 영통구 영통동,42개,157개
경기도 수원시 영통구 원천동,18개,33개
경기도 수원시 영통구 이의동,22개,74개
경기도 수원시 영통구 하동,5개,20개
경기도 수원시 장안구 송죽동,10개,23개
경기도 수원시 장안구 연무동,9개,19개
경기도 수원시 장안구 영화동,12개,31개
경기도 수원시 장안구 율전동,11개,32개
경기도 수원시 장안구 정자동,30개,79개
경기도 수원시 장안구 조원동,19개,61개
경기도 수원시 장안구 천천동,11개,50개
경기도 수원시 장안구 파장동,10개,28개
경기도 수원시 팔달구 고등동,2개,2개
경기도 수원시 팔달구 교동,2개,4개
경기도 수원시 팔달구 매교동,3개,1개
경기도 수원시 팔달구 매산로1가,15개,39개
경기도 수원시 팔달구 매산로2가,3개,16개
경기도 수원시 팔달구 매산로3가,1개,2개
경기도 수원시 팔달구 북수동,3개,4개
경기도 수원시 팔달구 신풍동,1개,2개
경기도 수원시 팔달구 영동,1개,6개
경기도 수원시 팔달구 우만동,18개,56개
경기도 수원시 팔달구 인계동,43개,177개
경기도 수원시 팔달구 지동,6개,17개
경기도 수원시 팔달구 팔달로1가,3개,3개
경기도 수원시 팔달구 팔달로2가,9개,19개
경기도 수원시 팔달구 팔달로3가,5개,13개
경기도 수원시 팔달구 화서동,25개,74개
경기도 시흥시 거모동,7개,21개
경기도 시흥시 논곡동,1개,2개
경기도 시흥시 능곡동,6개,18개
경기도 시흥시 대야동,18개,45개
경기도 시흥시 매화동,4개,7개
경기도 시흥시 목감동,5개,15개
경기도 시흥시 미산동,1개,1개
경기도 시흥시 배곧동,14개,52개
경기도 시흥시 신천동,19개,64개
경기도 시흥시 월곶동,4개,12개
경기도 시흥시 은행동,18개,55개
경기도 시흥시 장곡동,8개,14개
경기도 시흥시 장현동,1개,4개
경기도 시흥시 정왕동,54개,129개
경기도 시흥시 조남동,6개,13개
경기도 시흥시 죽율동,1개,1개
경기도 시흥시 포동,2개,4개
경기도 시흥시 하상동,1개,3개
경기도 시흥시 하중동,2개,8개
경기도 안산시 단원구 고잔동,69개,211개
경기도 안산시 단원구 대부북동,3개,6개
경기도 안산시 단원구 선부동,33개,86개
경기도 안산시 단원구 신길동,5개,10개
경기도 안산시 단원구 와동,9개,21개
경기도 안산시 단원구 원곡동,27개,57개
경기도 안산시 단원구 원시동,1개,4개
경기도 안산시 단원구 초지동,17개,42개
경기도 안산시 상록구 건건동,6개,15개
경기도 안산시 상록구 본오동,40개,111개
경기도 안산시 상록구 부곡동,6개,12개
경기도 안산시 상록구 사동,17개,39개
경기도 안산시 상록구 성포동,10개,23개
경기도 안산시 상록구 수암동,3개,5개
경기도 안산시 상록구 월피동,11개,25개
경기도 안산시 상록구 이동,14개,30개
경기도 안산시 상록구 일동,8개,12개
경기도 안산시 상록구 팔곡일동,1개,2개
경기도 안성시 고삼면 가유리,1개,1개
경기도 안성시 공도읍 만정리,7개,22개
경기도 안성시 공도읍 승두리,1개,3개
경기도 안성시 공도읍 양기리,1개,2개
경기도 안성시 공도읍 용두리,2개,5개
경기도 안성시 공도읍 진사리,6개,11개
경기도 안성시 금광면 신양복리,1개,1개
경기도 안성시 당왕동,4개,2개
경기도 안성시 대덕면 내리,1개,0개
경기도 안성시 대덕면 신령리,1개,2개
경기도 안성시 대천동,3개,15개
경기도 안성시 도기동,1개,1개
경기도 안성시 동본동,2개,5개
경기도 안성시 미양면 양변리,1개,0개
경기도 안성시 미양면 양지리,1개,1개
경기도 안성시 보개면 불현리,1개,0개
경기도 안성시 삼죽면 용월리,1개,0개
경기도 안성시 서인동,16개,17개
경기도 안성시 석정동,10개,35개
경기도 안성시 신소현동,1개,2개
경기도 안성시 아양동,2개,2개
경기도 안성시 양성면 동항리,1개,3개
경기도 안성시 양성면 명목리,1개,1개
경기도 안성시 연지동,1개,1개
경기도 안성시 옥산동,1개,3개
경기도 안성시 원곡면 성은리,1개,0개
경기도 안성시 원곡면 외가천리,1개,2개
경기도 안성시 원곡면 칠곡리,2개,0개
경기도 안성시 인지동,6개,9개
경기도 안성시 일죽면 송천리,2개,8개
경기도 안성시 죽산면 죽산리,4개,9개
경기도 안양시 동안구 관양동,54개,169개
경기도 안양시 동안구 비산동,28개,102개
경기도 안양시 동안구 평촌동,17개,62개
경기도 안양시 동안구 호계동,55개,214개
경기도 안양시 만안구 박달동,9개,32개
경기도 안양시 만안구 석수동,19개,43개
경기도 안양시 만안구 안양동,80개,206개
경기도 양주시 고암동,2개,0개
경기도 양주시 고읍동,2개,1개
경기도 양주시 광사동,8개,28개
경기도 양주시 광적면 가납리,5개,8개
경기도 양주시 광적면 석우리,1개,2개
경기도 양주시 남면 상수리,1개,0개
경기도 양주시 남면 신산리,3개,5개
경기도 양주시 덕계동,11개,22개
경기도 양주시 덕정동,15개,34개
경기도 양주시 만송동,1개,0개
경기도 양주시 백석읍 방성리,2개,0개
경기도 양주시 백석읍 복지리,6개,13개
경기도 양주시 백석읍 오산리,2개,0개
경기도 양주시 산북동,1개,0개
경기도 양주시 삼숭동,5개,11개
경기도 양주시 옥정동,12개,48개
경기도 양주시 은현면 봉암리,2개,1개
경기도 양주시 은현면 선암리,2개,0개
경기도 양주시 장흥면 부곡리,1개,3개
경기도 양주시 장흥면 일영리,2개,1개
경기도 양평군 강상면 병산리,1개,0개
경기도 양평군 강상면 송학리,1개,0개
경기도 양평군 강하면 운심리,1개,1개
경기도 양평군 개군면 하자포리,1개,0개
경기도 양평군 서종면 문호리,1개,5개
경기도 양평군 양동면 쌍학리,1개,2개
경기도 양평군 양서면 양수리,4개,8개
경기도 양평군 양서면 용담리,2개,0개
경기도 양평군 양평읍 공흥리,2개,6개
경기도 양평군 양평읍 도곡리,1개,0개
경기도 양평군 양평읍 양근리,16개,59개
경기도 양평군 옥천면 신복리,1개,1개
경기도 양평군 옥천면 옥천리,1개,4개
경기도 양평군 용문면 다문리,7개,18개
경기도 양평군 지평면 지평리,1개,4개
경기도 양평군 청운면 용두리,2개,2개
경기도 여주시 가남읍 태평리,6개,13개
경기도 여주시 금사면 이포리,1개,1개
경기도 여주시 능서면 신지리,1개,2개
경기도 여주시 대신면 율촌리,2개,4개
경기도 여주시 대신면 천서리,1개,0개
경기도 여주시 북내면 당우리,1개,3개
경기도 여주시 연라동,1개,0개
경기도 여주시 오학동,1개,2개
경기도 여주시 점동면 청안리,1개,3개
경기도 여주시 점봉동,2개,2개
경기도 여주시 창동,3개,13개
경기도 여주시 천송동,1개,1개
경기도 여주시 하동,5개,10개
경기도 여주시 현암동,2개,7개
경기도 여주시 홍문동,17개,49개
경기도 연천군 군남면 진상리,1개,0개
경기도 연천군 백학면 두일리,1개,1개
경기도 연천군 연천읍 상리,1개,1개
경기도 연천군 연천읍 차탄리,3개,6개
경기도 연천군 전곡읍 은대리,2개,2개
경기도 연천군 전곡읍 전곡리,12개,25개
경기도 연천군 청산면 궁평리,1개,1개
경기도 연천군 청산면 백의리,1개,0개
경기도 연천군 청산면 초성리,1개,0개
경기도 오산시 갈곶동,4개,6개
경기도 오산시 고현동,2개,3개
경기도 오산시 궐동,6개,9개
경기도 오산시 금암동,6개,25개
경기도 오산시 누읍동,3개,5개
경기도 오산시 부산동,3개,7개
경기도 오산시 세교동,3개,2개
경기도 오산시 수청동,7개,14개
경기도 오산시 양산동,2개,3개
경기도 오산시 오산동,24개,74개
경기도 오산시 외삼미동,3개,2개
경기도 오산시 원동,22개,65개
경기도 오산시 지곶동,1개,2개
경기도 용인시 기흥구 고매동,2개,1개
경기도 용인시 기흥구 공세동,5개,8개
경기도 용인시 기흥구 구갈동,17개,64개
경기도 용인시 기흥구 농서동,1개,5개
경기도 용인시 기흥구 동백동,7개,18개
경기도 용인시 기흥구 마북동,12개,31개
경기도 용인시 기흥구 보라동,8개,31개
경기도 용인시 기흥구 보정동,16개,66개
경기도 용인시 기흥구 상갈동,4개,12개
경기도 용인시 기흥구 상하동,5개,9개
경기도 용인시 기흥구 서천동,4개,14개
경기도 용인시 기흥구 신갈동,11개,39개
경기도 용인시 기흥구 언남동,10개,26개
경기도 용인시 기흥구 영덕동,17개,53개
경기도 용인시 기흥구 중동,34개,57개
경기도 용인시 기흥구 청덕동,4개,8개
경기도 용인시 기흥구 하갈동,1개,1개
경기도 용인시 수지구 동천동,13개,42개
경기도 용인시 수지구 상현동,30개,100개
경기도 용인시 수지구 성복동,18개,74개
경기도 용인시 수지구 신봉동,14개,34개
경기도 용인시 수지구 죽전동,23개,67개
경기도 용인시 수지구 풍덕천동,32개,108개
경기도 용인시 처인구 고림동,3개,3개
경기도 용인시 처인구 김량장동,30개,95개
경기도 용인시 처인구 남사읍 봉무리,1개,4개
경기도 용인시 처인구 남사읍 북리,1개,0개
경기도 용인시 처인구 남사읍 아곡리,3개,10개
경기도 용인시 처인구 남사읍 완장리,1개,2개
경기도 용인시 처인구 마평동,2개,6개
경기도 용인시 처인구 모현읍 능원리,1개,2개
경기도 용인시 처인구 모현읍 매산리,1개,0개
경기도 용인시 처인구 모현읍 오산리,1개,0개
경기도 용인시 처인구 모현읍 왕산리,5개,10개
경기도 용인시 처인구 백암면 백암리,2개,8개
경기도 용인시 처인구 삼가동,3개,5개
경기도 용인시 처인구 양지면 양지리,3개,10개
경기도 용인시 처인구 역북동,8개,24개
경기도 용인시 처인구 원삼면 고당리,2개,3개
경기도 용인시 처인구 원삼면 좌항리,1개,0개
경기도 용인시 처인구 유방동,2개,4개
경기도 용인시 처인구 이동읍 송전리,2개,5개
경기도 용인시 처인구 이동읍 천리,2개,7개
경기도 용인시 처인구 포곡읍 둔전리,6개,18개
경기도 용인시 처인구 포곡읍 삼계리,2개,2개
경기도 용인시 처인구 포곡읍 전대리,1개,3개
경기도 의왕시 고천동,4개,7개
경기도 의왕시 내손동,12개,51개
경기도 의왕시 삼동,10개,29개
경기도 의왕시 오전동,11개,31개
경기도 의왕시 왕곡동,1개,5개
경기도 의왕시 청계동,1개,6개
경기도 의왕시 포일동,5개,17개
경기도 의왕시 학의동,2개,1개
경기도 의정부시 가능동,16개,31개
경기도 의정부시 금오동,25개,44개
경기도 의정부시 낙양동,4개,10개
경기도 의정부시 녹양동,12개,20개
경기도 의정부시 민락동,18개,56개
경기도 의정부시 신곡동,23개,56개
경기도 의정부시 용현동,14개,37개
경기도 의정부시 의정부동,60개,182개
경기도 의정부시 장암동,4개,12개
경기도 의정부시 호원동,25개,84개
경기도 이천시 갈산동,2개,5개
경기도 이천시 관고동,5개,13개
경기도 이천시 대월면 사동리,1개,2개
경기도 이천시 대월면 초지리,1개,1개
경기도 이천시 마장면 각평리,1개,0개
경기도 이천시 마장면 오천리,2개,7개
경기도 이천시 모가면 진가리,1개,2개
경기도 이천시 백사면 모전리,1개,1개
경기도 이천시 백사면 조읍리,1개,0개
경기도 이천시 백사면 현방리,1개,3개
경기도 이천시 부발읍 무촌리,2개,7개
경기도 이천시 부발읍 신원리,1개,0개
경기도 이천시 부발읍 신하리,4개,10개
경기도 이천시 부발읍 아미리,5개,9개
경기도 이천시 부발읍 응암리,1개,0개
경기도 이천시 설성면 금당리,1개,1개
경기도 이천시 송정동,2개,6개
경기도 이천시 신둔면 남정리,1개,0개
경기도 이천시 신둔면 도암리,1개,1개
경기도 이천시 신둔면 수광리,3개,3개
경기도 이천시 안흥동,1개,1개
경기도 이천시 장호원읍 장호원리,10개,22개
경기도 이천시 중리동,18개,37개
경기도 이천시 증포동,4개,11개
경기도 이천시 창전동,24개,80개
경기도 이천시 호법면 유산리,1개,1개
경기도 파주시 광탄면 방축리,1개,0개
경기도 파주시 광탄면 신산리,4개,8개
경기도 파주시 광탄면 용미리,1개,0개
경기도 파주시 금릉동,1개,2개
경기도 파주시 금촌동,34개,90개
경기도 파주시 동패동,15개,66개
경기도 파주시 목동동,14개,42개
경기도 파주시 문발동,3개,4개
경기도 파주시 문산읍 당동리,5개,10개
경기도 파주시 문산읍 문산리,10개,32개
경기도 파주시 문산읍 선유리,4개,6개
경기도 파주시 법원읍 대능리,5개,8개
경기도 파주시 법원읍 법원리,1개,0개
경기도 파주시 아동동,5개,8개
경기도 파주시 야당동,10개,43개
경기도 파주시 와동동,12개,35개
경기도 파주시 월롱면 덕은리,1개,1개
경기도 파주시 월롱면 위전리,2개,1개
경기도 파주시 적성면 구읍리,1개,1개
경기도 파주시 적성면 마지리,4개,9개
경기도 파주시 조리읍 대원리,1개,3개
경기도 파주시 조리읍 봉일천리,5개,18개
경기도 파주시 탄현면 갈현리,1개,0개
경기도 파주시 탄현면 법흥리,3개,4개
경기도 파주시 파주읍 연풍리,1개,2개
경기도 파주시 파주읍 파주리,2개,4개
경기도 평택시 고덕면 궁리,1개,2개
경기도 평택시 고덕면 동청리,1개,1개
경기도 평택시 고덕면 여염리,3개,9개
경기도 평택시 군문동,1개,1개
경기도 평택시 독곡동,2개,2개
경기도 평택시 동삭동,7개,18개
경기도 평택시 비전동,25개,87개
경기도 평택시 서정동,22개,57개
경기도 평택시 서탄면 수월암리,1개,0개
경기도 평택시 세교동,9개,16개
경기도 평택시 소사동,1개,0개
경기도 평택시 신장동,12개,16개
경기도 평택시 안중읍 송담리,2개,5개
경기도 평택시 안중읍 안중리,13개,21개
경기도 평택시 안중읍 현화리,8개,25개
경기도 평택시 오성면 숙성리,1개,3개
경기도 평택시 용이동,6개,22개
경기도 평택시 이충동,7개,29개
경기도 평택시 장당동,1개,1개
경기도 평택시 장안동,1개,0개
경기도 평택시 지산동,15개,29개
경기도 평택시 지제동,2개,1개
경기도 평택시 진위면 하북리,1개,1개
경기도 평택시 청북읍 고렴리,1개,0개
경기도 평택시 청북읍 어연리,1개,1개
경기도 평택시 청북읍 옥길리,4개,11개
경기도 평택시 청북읍 후사리,1개,3개
경기도 평택시 칠원동,1개,3개
경기도 평택시 통복동,15개,27개
경기도 평택시 팽성읍 객사리,2개,4개
경기도 평택시 팽성읍 송화리,2개,4개
경기도 평택시 팽성읍 안정리,4개,15개
경기도 평택시 평택동,27개,84개
경기도 평택시 포승읍 내기리,1개,1개
경기도 평택시 포승읍 도곡리,6개,9개
경기도 평택시 포승읍 만호리,3개,1개
경기도 평택시 포승읍 원정리,1개,1개
경기도 평택시 합정동,20개,31개
경기도 포천시 가산면 마산리,2개,4개
경기도 포천시 관인면 탄동리,1개,1개
경기도 포천시 군내면 구읍리,2개,1개
경기도 포천시 내촌면 내리,2개,3개
경기도 포천시 선단동,3개,7개
경기도 포천시 소흘읍 고모리,1개,0개
경기도 포천시 소흘읍 송우리,16개,50개
경기도 포천시 소흘읍 이동교리,1개,0개
경기도 포천시 신읍동,16개,35개
경기도 포천시 영북면 운천리,5개,11개
경기도 포천시 영중면 양문리,2개,4개
경기도 포천시 이동면 장암리,1개,4개
경기도 포천시 일동면 기산리,6개,13개
경기도 하남시 감이동,1개,9개
경기도 하남시 감일동,2개,7개
경기도 하남시 덕풍동,26개,78개
경기도 하남시 망월동,34개,136개
경기도 하남시 선동,1개,1개
경기도 하남시 신장동,31개,81개
경기도 하남시 창우동,4개,7개
경기도 하남시 풍산동,11개,18개
경기도 하남시 학암동,1개,3개
경기도 화성시 기안동,4개,7개
경기도 화성시 남양읍 남양리,17개,43개
경기도 화성시 남양읍 북양리,3개,0개
경기도 화성시 능동,12개,33개
경기도 화성시 마도면 두곡리,1개,2개
경기도 화성시 마도면 쌍송리,1개,0개
경기도 화성시 매송면 원리,1개,0개
경기도 화성시 매송면 천천리,2개,0개
경기도 화성시 목동,5개,22개
경기도 화성시 반송동,35개,118개
경기도 화성시 반월동,13개,28개
경기도 화성시 병점동,14개,47개
경기도 화성시 봉담읍 덕우리,1개,0개
경기도 화성시 봉담읍 동화리,8개,32개
경기도 화성시 봉담읍 상리,5개,11개
경기도 화성시 봉담읍 수영리,1개,2개
경기도 화성시 봉담읍 와우리,10개,21개
경기도 화성시 봉담읍 왕림리,1개,0개
경기도 화성시 봉담읍 유리,1개,1개
경기도 화성시 비봉면 양노리,1개,4개
경기도 화성시 산척동,10개,56개
경기도 화성시 새솔동,7개,18개
경기도 화성시 서신면 매화리,1개,4개
경기도 화성시 서신면 송교리,1개,0개
경기도 화성시 석우동,10개,6개
경기도 화성시 송동,2개,4개
경기도 화성시 송산동,3개,4개
경기도 화성시 송산면 봉가리,1개,3개
경기도 화성시 송산면 사강리,4개,12개
경기도 화성시 안녕동,4개,6개
경기도 화성시 양감면 송산리,1개,0개
경기도 화성시 양감면 신왕리,1개,1개
경기도 화성시 영천동,11개,36개
경기도 화성시 오산동,13개,56개
경기도 화성시 우정읍 조암리,7개,22개
경기도 화성시 우정읍 화산리,2개,0개
경기도 화성시 장안면 독정리,1개,1개
경기도 화성시 장안면 석포리,1개,0개
경기도 화성시 장안면 수촌리,1개,0개
경기도 화성시 장지동,2개,5개
경기도 화성시 정남면 괘랑리,1개,2개
경기도 화성시 정남면 덕절리,2개,0개
경기도 화성시 정남면 발산리,1개,1개
경기도 화성시 정남면 보통리,2개,0개
경기도 화성시 정남면 제기리,1개,0개
경기도 화성시 진안동,14개,35개
경기도 화성시 청계동,9개,33개
경기도 화성시 팔탄면 구장리,1개,6개
경기도 화성시 팔탄면 율암리,1개,0개
경기도 화성시 팔탄면 창곡리,1개,0개
경기도 화성시 향남읍 관리,1개,0개
경기도 화성시 향남읍 구문천리,1개,1개
경기도 화성시 향남읍 발안리,1개,2개
경기도 화성시 향남읍 상신리,1개,2개
경기도 화성시 향남읍 수직리,1개,0개
경기도 화성시 향남읍 평리,8개,19개
경기도 화성시 향남읍 하길리,6개,19개
경기도 화성시 향남읍 행정리,11개,42개
서울특별시 강남구 개포동,27개,92개
서울특별시 강남구 논현동,82개,449개
서울특별시 강남구 대치동,59개,286개
서울특별시 강남구 도곡동,33개,127개
서울특별시 강남구 삼성동,34개,168개
서울특별시 강남구 세곡동,4개,17개
서울특별시 강남구 수서동,15개,40개
서울특별시 강남구 신사동,74개,660개
서울특별시 강남구 압구정동,5개,13개
서울특별시 강남구 역삼동,103개,555개
서울특별시 강남구 율현동,1개,5개
서울특별시 강남구 일원동,28개,47개
서울특별시 강남구 자곡동,5개,10개
서울특별시 강남구 청담동,26개,243개
서울특별시 강동구 강일동,12개,29개
서울특별시 강동구 고덕동,14개,46개
서울특별시 강동구 길동,35개,108개
서울특별시 강동구 둔촌동,18개,27개
서울특별시 강동구 명일동,40개,135개
서울특별시 강동구 상일동,10개,25개
서울특별시 강동구 성내동,43개,170개
서울특별시 강동구 암사동,23개,84개
서울특별시 강동구 천호동,60개,188개
서울특별시 강북구 미아동,74개,231개
서울특별시 강북구 번동,28개,74개
서울특별시 강북구 수유동,62개,139개
서울특별시 강북구 우이동,5개,6개
서울특별시 강서구 가양동,19개,54개
서울특별시 강서구 공항동,10개,22개
서울특별시 강서구 과해동,1개,0개
